TENURE,LU_DESC,HECTARES,LC_DESC_11,LC_DESC_10
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.51803612,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.87973495,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),2.46191714,Unknown,Unknown
PUBLIC,Nature Reserve,1.01084677,Unknown,Unknown
PUBLIC,Nature Reserve,0.27364491,Unknown,Unknown
PRIVATE,General Purpose Factory,1.19221401,Unknown,Unknown
PUBLIC,Nature Reserve,2.50902012,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,1.18917632,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.32126476,Unknown,Unknown
PRIVATE,Detached Home,0.00039182,Unknown,Unknown
PRIVATE,Detached Home,0.07850900,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.02018831,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.40984513,Unknown,Unknown
PRIVATE,Detached Home,0.00242474,Unknown,Unknown
PRIVATE,Detached Home,0.09731167,Unknown,Unknown
PRIVATE,Detached Home,0.00375934,Unknown,Unknown
PRIVATE,Detached Home,0.10107316,Unknown,Unknown
PUBLIC,Reserved Land,0.33913908,Unknown,Unknown
PRIVATE,Detached Home,0.10106681,Unknown,Unknown
PRIVATE,Unclassified Private Land,1.69620724,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00032219,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.10765522,Unknown,Unknown
PRIVATE,Detached Home,0.11898888,Unknown,Unknown
PRIVATE,Detached Home,0.10740410,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.38513546,Unknown,Unknown
PRIVATE,Detached Home,0.12500374,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.13506297,Unknown,Unknown
PRIVATE,Detached Home,0.15156782,Unknown,Unknown
PRIVATE,Detached Home,0.22431179,Unknown,Unknown
PRIVATE,Detached Home,0.13577317,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,0.84147810,Unknown,Unknown
PRIVATE,Detached Home,0.25253633,Unknown,Unknown
PRIVATE,Detached Home,0.19263575,Unknown,Unknown
PRIVATE,Detached Home,0.12959325,Unknown,Unknown
PRIVATE,Retail Premises (single occupancy/single title/single stratum),0.08010546,Unknown,Unknown
PRIVATE,Detached Home,0.12133506,Unknown,Unknown
PRIVATE,Detached Home,0.12133109,Unknown,Unknown
PRIVATE,Detached Home,0.12133372,Unknown,Unknown
PRIVATE,Detached Home,0.14755731,Unknown,Unknown
PRIVATE,Detached Home,0.08010678,Unknown,Unknown
PUBLIC,National Park - Land,563.62913368,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.30665646,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),9.62422061,Unknown,Unknown
PUBLIC,National Park - Land,0.33067276,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),111.65471529,Softwood Plantation,Pasture and grassland
PUBLIC,National Park - Land,1.00298907,Unknown,Unknown
PRIVATE,Detached Home,2.54232125,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.27964306,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),49.15606869,Softwood Plantation,Native woody cover
PUBLIC,National Park - Land,4.53918592,Unknown,Unknown
PUBLIC,Reserved Land,230.10584215,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,513.59220893,Native woody cover,Native woody cover
PRIVATE,Softwood Plantation,129.46474611,Softwood Plantation,Native woody cover
PRIVATE,Mixed farming and grazing  (generally more than 20ha),19.62436732,Softwood Plantation,Native woody cover
PRIVATE,Softwood Plantation,114.89318932,Softwood Plantation,Native woody cover
PUBLIC,Forest Reserves - Public,11.20059227,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),38.35453164,Pasture and grassland,Pasture and grassland
PUBLIC,Forest Reserves - Public,126.16188239,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,8.41694297,Unknown,Unknown
PUBLIC,Forest Reserves - Public,10.20606040,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),19.38721685,Softwood Plantation,Pasture and grassland
PUBLIC,Forest Reserves - Public,49.86198115,Native woody cover,Native woody cover
PRIVATE,Native Hardwood (standing timber),230.11928201,Softwood Plantation,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),23.65995904,Softwood Plantation,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),31.93633420,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),19.86870000,Softwood Plantation,Pasture and grassland
PUBLIC,Nature Reserve,3.38013224,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),11.85115803,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.93670443,Hardwood plantation,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.05389285,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),5.85190762,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.15108970,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.05661674,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),53.08490223,Softwood Plantation,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.11416074,Unknown,Unknown
PRIVATE,Detached Home,2.42758955,Unknown,Unknown
PRIVATE,Detached Home,3.91231265,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),31.97240361,Softwood Plantation,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),24.71919421,Hardwood plantation,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.93433216,Unknown,Unknown
PRIVATE,Detached Home,13.95234815,Pasture and grassland,Native woody cover
PRIVATE,Detached Home,5.77648851,Unknown,Unknown
PRIVATE,Detached Home,9.22270507,Unknown,Unknown
PRIVATE,Detached Home,0.31990522,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),6.58927646,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),6.96191750,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.19708987,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.06050090,Unknown,Unknown
PRIVATE,Softwood Plantation,73.33676560,Softwood Plantation,Native woody cover
PRIVATE,Softwood Plantation,127.70913609,Softwood Plantation,Deciduous woody horticulture
PRIVATE,Softwood Plantation,27.55788532,Deciduous woody horticulture,Native woody cover
PRIVATE,Softwood Plantation,44.93580996,Softwood Plantation,Native woody cover
PRIVATE,Softwood Plantation,48.82617995,Softwood Plantation,Pasture and grassland
PRIVATE,Softwood Plantation,70.71774134,Softwood Plantation,Native woody cover
PUBLIC,Forest Reserves - Public,126.81365853,Native woody cover,Native woody cover
PRIVATE,Softwood Plantation,83.32039122,Softwood Plantation,Native woody cover
PUBLIC,Reserved Land,1.14733196,Unknown,Unknown
PUBLIC,Forest Reserves - Public,5.29853657,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),35.50590873,Softwood Plantation,Native woody cover
PUBLIC,Reserved Land,0.69188399,Unknown,Unknown
PUBLIC,Forest Reserves - Public,8.93020660,Unknown,Unknown
PUBLIC,Reserved Land,2.21191185,Unknown,Unknown
PRIVATE,Softwood Plantation,96.42895917,Softwood Plantation,Native woody cover
PRIVATE,Mixed farming and grazing  (generally more than 20ha),19.15498409,Softwood Plantation,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),56.77567398,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),107.74548822,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,111.78251990,Native woody cover,Native woody cover
PUBLIC,National Park - Land,133.13648872,Native woody cover,Native woody cover
PUBLIC,National Park - Land,36.11104780,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.90322173,Unknown,Unknown
PUBLIC,National Park - Land,8.92345407,Unknown,Unknown
