TENURE,LU_DESC,HECTARES,LC_DESC_11,LC_DESC_10
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.19995492,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20014167,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20013702,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20013640,Unknown,Unknown
PRIVATE,Detached Home,0.67353543,Unknown,Unknown
PRIVATE,Detached Home,0.18992776,Unknown,Unknown
PRIVATE,Community Health Centre,0.11275430,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),101.50049919,Softwood Plantation,Pasture and grassland
PRIVATE,Unclassified Private Land,112.40982608,Native woody cover,Native woody cover
PRIVATE,Mixed farming and grazing  (generally more than 20ha),32.60354565,Pasture and grassland,Pasture and grassland
PRIVATE,Softwood Plantation,86.55306463,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),31.23303380,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),0.49023131,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.13781595,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.47686678,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),17.87410945,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),0.52794368,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),7.67808346,Unknown,Unknown
PRIVATE,Detached Home,3.46742880,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.18121443,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.78728433,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.46157070,Unknown,Unknown
PRIVATE,Detached Home,2.73971474,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),16.49260613,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),25.93866108,Softwood Plantation,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),27.77817909,Softwood Plantation,Native woody cover
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.24042048,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.38587660,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),0.84357709,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.02375222,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.84491853,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.16186559,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.86384097,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),51.23072371,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),3.61521828,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.47949448,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),5.62906239,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),2.99153090,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),28.73308194,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),49.66406366,Pasture and grassland,Pasture and grassland
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.84010556,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),4.03201225,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.89665260,Unknown,Unknown
PUBLIC,National Park - Land,2.56936025,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),11.97439987,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),8.55998516,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.32562133,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.18664525,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),6.18779320,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.20622476,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),13.69118582,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.62489268,Unknown,Unknown
PRIVATE,Market Garden - Vegetables (generally less than 20ha plantings),9.85744720,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),28.51451946,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),14.09616180,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),32.18506977,Pasture and grassland,Pasture and grassland
PUBLIC,Nature Reserve,1.92377405,Unknown,Unknown
PRIVATE,Detached Home,0.05061866,Unknown,Unknown
PRIVATE,Detached Home,0.02706648,Unknown,Unknown
PRIVATE,Detached Home,0.01299948,Unknown,Unknown
PRIVATE,Detached Home,0.01215655,Unknown,Unknown
PRIVATE,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,0.07460536,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),14.75291224,Pasture and grassland,Pasture and grassland
PRIVATE,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,0.08413372,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.19555461,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),1.37939139,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.19663239,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.19903638,Unknown,Unknown
PRIVATE,Detached Home,0.19816563,Unknown,Unknown
PUBLIC,Reserved Land,0.39414563,Unknown,Unknown
PUBLIC,Nature Reserve,7.63659362,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.80151066,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),11.16819053,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.07590906,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.16096128,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.72556582,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),2.55503783,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.64274904,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,4.83079331,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,0.13145254,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,3.91368164,Unknown,Unknown
PUBLIC,Reserved Land,0.24577136,Unknown,Unknown
PUBLIC,Reserved Land,0.91666076,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.75957593,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.89902213,Unknown,Unknown
PUBLIC,Forest Reserves - Public,3.41823924,Unknown,Unknown
PUBLIC,Forest Reserves - Public,3.78138000,Unknown,Unknown
PUBLIC,Reserved Land,0.36748745,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.10245539,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),1.23015287,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.11113748,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),13.13178197,Pasture and grassland,Deciduous woody horticulture
PUBLIC,Community Service Facilities or Other,3.84192906,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),9.96803283,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),5.36749167,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.97759801,Unknown,Unknown
PUBLIC,Reserved Land,0.35487383,Unknown,Unknown
PUBLIC,Reserved Land,0.19238202,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,4.09622861,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.50938676,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.56255989,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),4.92513795,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.65518586,Unknown,Unknown
PRIVATE,Detached Home,0.83285057,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.01461224,Unknown,Unknown
PUBLIC,Nature Reserve,1.52418796,Unknown,Unknown
PRIVATE,Unclassified Private Land,3.12667970,Unknown,Unknown
PRIVATE,General Purpose Factory,1.14446577,Unknown,Unknown
PRIVATE,Detached Home,0.08010731,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.06064182,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00027593,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.08266109,Unknown,Unknown
PRIVATE,Detached Home,0.00037051,Unknown,Unknown
PRIVATE,Detached Home,0.03922337,Unknown,Unknown
PRIVATE,Detached Home,0.08010523,Unknown,Unknown
PRIVATE,Detached Home,0.02502305,Unknown,Unknown
PRIVATE,Detached Home,0.01318257,Unknown,Unknown
PRIVATE,Detached Home,0.00134276,Unknown,Unknown
PRIVATE,Detached Home,0.07110211,Unknown,Unknown
PRIVATE,Detached Home,0.04793427,Unknown,Unknown
PRIVATE,Detached Home,0.08010539,Unknown,Unknown
PRIVATE,Detached Home,0.01405304,Unknown,Unknown
PRIVATE,Detached Home,0.03700984,Unknown,Unknown
PRIVATE,Detached Home,0.00577540,Unknown,Unknown
PRIVATE,Detached Home,0.07436431,Unknown,Unknown
PRIVATE,Detached Home,0.01936174,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00055530,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.05445327,Unknown,Unknown
PRIVATE,Detached Home,0.08010460,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.01315037,Unknown,Unknown
PRIVATE,Detached Home,0.00631895,Unknown,Unknown
PRIVATE,Unclassified Private Land,3.16744638,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.06954602,Unknown,Unknown
